id;image;title;author;format;nazwa;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
198;https://as2.ftcdn.net/jpg/02/96/17/03/500_F_296170386_mR8d1vWHk0WliGoj8JgvKftnq802C6Fo.jpg;Dog peeking through car window;The Good Brigade;jpeg;Rozmiar;5200x3466;1688x1125;Samochody;2240.99;1120.99;74
199;https://as2.ftcdn.net/jpg/01/08/09/25/500_F_108092518_76CYEoKebI3lpH2pnYqLv5tAV2kzVGxS.jpg;High angle view of cars parked in elevated garage;Inti St Clair\Blend Images;jpeg;Rozmiar;5121x3414;1688x1125;Samochody;2240.99;1120.99;94
200;https://as2.ftcdn.net/jpg/02/02/31/03/500_F_202310392_pBVj6AHJSbJGrAfWTtou85KHmBUZ9tXo.jpg;Women sitting on back seat in car;ADDICTIVE STOCK;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;60
201;https://as1.ftcdn.net/jpg/02/78/61/86/500_F_278618681_IA9k4s1a4GJrJ3jfGs9oTKBPUxyhcDNl.jpg;Aerial view of rows of old cars that have served  assembled in a junk yard waiting to be recycled for their reusable parts  Aurora  IL  USA.;AmazingAerialAgency;jpeg;Rozmiar;4500x3000;1688x1125;Samochody;2240.99;1120.99;97
202;https://as2.ftcdn.net/jpg/03/85/17/21/500_F_385172153_0sTnWd2hglgWgBnjb91jcBCFc1mTt5qj.jpg;France  Corse-du-Sud  Piana  Van parked along road in Calanques de Piana;Ulrich Hagemann\Westend61;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;2240.99;1120.99;59
203;https://as1.ftcdn.net/jpg/02/15/32/08/500_F_215320813_ViTotDEzwsErugXY7hW1fTQdVAuCbHnw.jpg;Businessman using virtual reality headset in a car ;Wavebreak Media;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;80
204;https://as2.ftcdn.net/jpg/03/72/35/23/500_F_372352311_nejrTjouBgLTAhcq4QDQpa6oSRfb4q2i.jpg;vintage car;Kirill Bordon photography\Stocksy;jpeg;Rozmiar;3035x2035;1683x1129;Samochody;1120.99;538.99;21
205;https://as1.ftcdn.net/jpg/02/98/14/76/500_F_298147689_1WbWwKvOfpiSHJMTEvKaX9k9A6pdb86T.jpg;Part of the back of a vintage american car;Jakob Lagerstedt\Stocksy;jpeg;Rozmiar;4762x4691;1389x1368;Samochody;1120.99;538.99;33
206;https://as2.ftcdn.net/jpg/03/57/26/69/500_F_357266966_XRPcBZTEDYIfaBiCLKSRZEEhBlmtfor3.jpg;Carsharing  woman renting an electric car using smartphone;Westend61;jpeg;Rozmiar;6600x4400;1688x1125;Samochody;2240.99;1120.99;69
207;https://as2.ftcdn.net/jpg/03/88/84/81/500_F_388848138_kds9VV6UT0TQ5ClkVjBkIGXW8uYlYX48.jpg;Subway cars being repaired in transit maintenance facility;Hero Images;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;25
208;https://as1.ftcdn.net/jpg/01/95/67/38/500_F_195673887_YMHdV6wJUN4FnYHHID6ftcCgtu9z9KfY.jpg;Anonymous man travelling and holding tattooed hands on the wheel while driving a car on icelandic mountains background;Nick Bondarev\Stocksy;jpeg;Rozmiar;7952x5304;1688x1126;Samochody;1120.99;538.99;41
209;https://as2.ftcdn.net/jpg/01/83/31/71/500_F_183317100_HqFqBQgml2k7l4R9B27ls4qNu0HTZTth.jpg;Girl in car;Scandinav;jpeg;Rozmiar;7264x4843;1688x1126;Samochody;2240.99;1120.99;14
210;https://as1.ftcdn.net/jpg/01/86/99/06/500_F_186990615_Rre0xDFBEo1MQOMXQOGUW1nu9ryzN1Hf.jpg;Tourist leaning on car roof;Kike Arnaiz\ADDICTIVE STOCK;jpeg;Rozmiar;7539x5029;1688x1126;Samochody;1120.99;538.99;75
211;https://as1.ftcdn.net/jpg/02/11/10/40/500_F_211104000_cjCsxzzOmayS1y3vGfnidxhcaUkZkjxD.jpg;High angle view of friends having coffee while talking by car on snow;Maskot;jpeg;Rozmiar;5700x3800;1688x1125;Samochody;2240.99;1120.99;64
212;https://as2.ftcdn.net/jpg/02/92/00/97/500_F_292009718_8aZlo1zbBVrhXSn3RgyOpQpd66VA5YF4.jpg;Young woman sitting in car;Cavan Images;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;41
213;https://as2.ftcdn.net/jpg/02/63/83/25/500_F_263832588_GewP4BXN0s64qEhTPBcUA2f9T7ziBz4I.jpg;Vintage green car parked on street;Santi Nunez\Stocksy;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;20
214;https://as2.ftcdn.net/jpg/01/87/41/75/500_F_187417585_1eyu34b4FLfW3ky1eZWhodpEB33FWQIO.jpg;Vintage car in Cuba;Mauro Grigollo Photographer\Stocksy;jpeg;Rozmiar;6000x4000;1688x1125;Samochody;1120.99;538.99;77
215;https://as2.ftcdn.net/jpg/02/68/21/35/500_F_268213530_sDKSoWdeCVGSPv4pvjnJiY7yBKlAFtry.jpg;Woman Opening Car Door;guille Faingold\Stocksy;jpeg;Rozmiar;4500x3000;1688x1125;Samochody;1120.99;538.99;74
216;https://as2.ftcdn.net/jpg/03/15/20/33/500_F_315203379_UttaGZTlLGJo47y4irWlkDTTO4rT1mhL.jpg;Portrait smiling father leaning on car with mountain bikes;Paul Bradbury\Caia Image;jpeg;Rozmiar;5120x3413;1688x1125;Samochody;2240.99;1120.99;28
217;https://as1.ftcdn.net/jpg/02/81/52/86/500_F_281528625_2mhIhC5ZCggQj42GZUBCtR7U0tLcAEJ2.jpg;Mechanics talking over car in automobile repair shop;Mint Images;jpeg;Rozmiar;5130x3420;1688x1125;Samochody;1120.99;538.99;82
218;https://as1.ftcdn.net/jpg/02/61/08/48/500_F_261084819_dalqb0KaSHDhFlk7pEMfQEyuzcGanExG.jpg;Old yellow sport classic car parked in the countryside;MyMicrostock\Stocksy;jpeg;Rozmiar;3416x5124;1125x1688;Samochody;1120.99;538.99;66
219;https://as1.ftcdn.net/jpg/02/68/21/90/500_F_268219009_Yp4SaHwrWBQVtUL1MFQjFbiSUZ4VvPbK.jpg;Dog looking through car window;Chelsea Victoria\Stocksy;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;64
220;https://as2.ftcdn.net/jpg/01/93/41/49/500_F_193414966_SQvTIwejSstO0FNSrabtShq3PRI48yCQ.jpg;Adult man sitting in vintage car;ADDICTIVE STOCK;jpeg;Rozmiar;5976x3992;1687x1127;Samochody;1120.99;538.99;99
