id;image;title;author;format;nazwa;rozmiary;kategoria;cena_duzy;cena_maly;ilosc(quantity)
459;https://as1.ftcdn.net/jpg/02/78/30/12/500_F_278301263_mMX9k8CUHsWwwFnNQ66yzHj3GJsh8c1l.jpg;Detail of flowers and plants with waterdrops;Javier Pardina\Stocksy;jpeg;Rozmiar;7952x5304,1688x1126;Makro;1120.99;538.99;46
460;https://as1.ftcdn.net/jpg/02/53/81/94/500_F_253819488_9zypX24r0eWHxPeXo4NkDOtCERvksfQr.jpg;Brownies with chocolate chips on top;Lauren Allen;jpeg;Rozmiar;5516x3677,1688x1125;Makro;2240.99;1120.99;92
461;https://as1.ftcdn.net/jpg/03/51/35/58/500_F_351355851_R0SQ1QywjTQehxt320FpyrEY9xpj4fXL.jpg;German  Baden-Wuerttemberg  Close up of dandelions;Westend61;jpeg;Rozmiar;5315x3543,1688x1125;Makro;2240.99;1120.99;84
462;https://as1.ftcdn.net/jpg/02/20/83/72/500_F_220837283_PLxTNzz2vbM38LivBMbQDqWwkQHiZfvp.jpg;Flying frog on a flower  Indonesia;RooM The Agency;jpeg;Rozmiar;4288x2848,1691x1123;Makro;1120.99;538.99;95
463;https://as2.ftcdn.net/jpg/03/77/39/95/500_F_377399598_3YBaLhhATAJxsD20XtI9o6Y75lhhAX94.jpg;A macro shot of green colorful parakeet feathers  bird anatomy;Cavan Images;jpeg;Rozmiar;6000x4000,1688x1125;Makro;1120.99;538.99;38
464;https://as2.ftcdn.net/jpg/01/78/29/43/500_F_178294335_k6Sy7dT76QkZrQB6FPe4ZL5PjixnSpQ2.jpg;Dandelion seed  ready to fly away;yuko hirao\Stocksy;jpeg;Rozmiar;5761x3841,1688x1126;Makro;1120.99;538.99;2
465;https://as1.ftcdn.net/jpg/02/27/57/52/500_F_227575275_BEvzpWdBBcJDjnl0asTJr0VKfftK4Cl6.jpg;Anemone;alanshapiro\Stocksy;jpeg;Rozmiar;3562x4692,1201x1582;Makro;1120.99;538.99;27
466;https://as1.ftcdn.net/jpg/03/75/00/84/500_F_375008402_zF2prcLxMTkMwvaiQxFIIfyVdLws6Oiw.jpg;Macro of green sedum plant leaves;Kerry Murphy\Stocksy;jpeg;Rozmiar;5184x3456,1688x1125;Makro;1120.99;538.99;57
467;https://as2.ftcdn.net/jpg/02/12/04/33/500_F_212043332_W5J4jPZ0ba2Zh1C2eZxZBviEZptnoxjA.jpg;Cimbex luteus (Cimbex luteus) sawfly  pokeweed (Phytolacca sp.)  Saxony-Anhalt  Germany  Europe;imageBROKER;jpeg;Rozmiar;5111x3420,1685x1128;Makro;1120.99;538.99;5
468;https://as1.ftcdn.net/jpg/02/11/00/22/500_F_211002281_NoNyJFbbFBFo7TBHbGHF081nQqUXNY0a.jpg;Dahlia on plain background;Bettina Gueber;jpeg;Rozmiar;5000x5000,1378x1378;Makro;1120.99;538.99;105
