image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/01/87/55/40/500_F_187554094_zCxtUSDvML2burBD43POHnvTt9aSgidV.jpg;poppy macro;alan shapiro\Stocksy;jpeg;6000x3553;1791x1061;Makro;1120.99;538.99;69
https://as2.ftcdn.net/jpg/02/77/78/85/500_F_277788508_3YmUFfZ4EtX67VGBj28tA18uTgQuvwNo.jpg;Close up of small gray lizard looking out of trunk in the forest;Marcos Osorio\ADDICTIVE STOCK;jpeg;6720x4480;1688x1125;Makro;1120.99;538.99;2
https://as2.ftcdn.net/jpg/02/32/65/51/500_F_232655105_jmQcE3hAd5GLs4PYchOtrEB9yxFH410e.jpg;drops of dew on green grass  macro;Stocksy;jpeg;7952x5304;1688x1126;Makro;1120.99;538.99;93
https://as2.ftcdn.net/jpg/02/54/80/87/500_F_254808781_zFHQqFWvJNNHzwxzuG8MitjQ0ogiXNtM.jpg;Cracked Freekeh Close Up;The Picture Pantry;jpeg;3264x4928;1122x1694;Makro;1120.99;538.99;41
https://as2.ftcdn.net/jpg/02/15/87/61/500_F_215876149_llM78i1waaL6GWCFqSKIQMKguswRXCp8.jpg;Close Up Of A Pale Orange Dahlia Flower;ALICIA BOCK PHOTOGRAPHY\Stocksy;jpeg;3678x5517;1125x1688;Makro;1120.99;538.99;26
https://as1.ftcdn.net/jpg/03/09/82/68/500_F_309826839_1GXFggB7jKsF12LFzqDeZpccuAc5UVFL.jpg;Wild Nature;Kristina Hader;jpeg;3432x5148;1125x1688;Makro;1120.99;538.99;65
https://as2.ftcdn.net/jpg/03/75/20/95/500_F_375209504_RlR4lEU75aVu7q3X2fDKXxlZBxMbu9OB.jpg;Monochrome Closeup Of Dragonfly Perched On Rock;Kelli Seeger Kim\Stocksy;jpeg;4684x3123;1688x1126;Makro;1120.99;538.99;18
https://as2.ftcdn.net/jpg/02/52/32/13/500_F_252321327_nbR4tc6G2Azr00cmxeO8knIBnh8uI9tw.jpg;Fresh red and spicy chilli peppers on dark background.;ADDICTIVE STOCK;jpeg;3648x5472;1125x1688;Makro;1120.99;538.99;5
https://as2.ftcdn.net/jpg/02/23/26/61/500_F_223266173_z5nGeMThx9whJ5kNlV9iJ9WI9kLLh55W.jpg;Ant Mimic Spider on a leaf  Thailand;RooM The Agency;jpeg;4288x2848;1691x1123;Makro;1120.99;538.99;15
https://as2.ftcdn.net/jpg/03/75/22/37/500_F_375223702_Tycdl5wux48lfWgHMhLMeMrwS296rxoA.jpg;macro of white Hibiscus flower;JESSICA LIA\Stocksy;jpeg;5184x3456;1688x1125;Makro;1120.99;538.99;78
https://as2.ftcdn.net/jpg/03/77/41/09/500_F_377410977_iZCIRMMAxdxzV96oK6HjDh86CMiIeTpD.jpg;Eggs Closeup;Helen Sotiriadis\Stocksy;jpeg;5359x3577;1687x1126;Makro;1120.99;538.99;8
https://as2.ftcdn.net/jpg/02/96/38/19/500_F_296381953_ar2KhyftGZCVb5j4ha9J0xlmE3lTmnbD.jpg;edible flowers;Luana;jpeg;3840x5760;1125x1688;Makro;1120.99;538.99;28
https://as1.ftcdn.net/jpg/01/77/35/76/500_F_177357638_stPGN4k5WHbosvBwDSodxFUAvnQhsvib.jpg;Macro of variegated blue spool of yarn;Kerry Murphy\Stocksy;jpeg;5184x3456;1688x1125;Makro;1120.99;538.99;74
https://as1.ftcdn.net/jpg/02/92/60/62/500_F_292606211_Jd6AVXDgF6jhBRmhZp9OPNDewqVxDjHN.jpg;Plumeria flowers growing on tree;Rachel Weill;jpeg;4000x6000;1125x1688;Makro;2240.99;1120.99;97
https://as1.ftcdn.net/jpg/02/15/28/94/500_F_215289476_fO159rF409d1g3N7fjIjkrykxIQStt0O.jpg;Artistic close up of desert weeds;Rachel Bellinsky\Stocksy;jpeg;4928x3280;1690x1125;Makro;1120.99;538.99;22
https://as1.ftcdn.net/jpg/02/62/81/58/500_F_262815863_Cqi0eXVQzdzArnZcNt8GcZXYQHQrPB3S.jpg;Close up of a patch of frost on a window in the winter.;Cavan Social;jpeg;4000x5227;1206x1576;Makro;1120.99;538.99;67
